epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5662.63,1.27524,0.83372,1.11623,0.72042,0.53559,0.60864,0.35752,1.26235,0.78944,1.11948,0.000396265,0.000396265,0.000396265
43,5796.9,1.27075,0.83348,1.1168,0.70923,0.55775,0.61766,0.35634,1.25654,0.77672,1.11366,0.000389661,0.000389661,0.000389661
44,5931.24,1.26307,0.81505,1.11155,0.73164,0.54003,0.61129,0.35515,1.26325,0.78676,1.11429,0.000383058,0.000383058,0.000383058
45,6064.71,1.25151,0.81451,1.10579,0.72524,0.56016,0.62818,0.36909,1.25833,0.78334,1.11348,0.000376455,0.000376455,0.000376455
46,6199.13,1.25455,0.81361,1.10645,0.76295,0.5451,0.63692,0.36947,1.24616,0.76841,1.10601,0.000369851,0.000369851,0.000369851
47,6332.61,1.25116,0.8056,1.09998,0.7392,0.5781,0.64101,0.36665,1.24992,0.76684,1.10807,0.000363248,0.000363248,0.000363248
48,6466.97,1.2465,0.79678,1.09857,0.75888,0.55218,0.6355,0.36947,1.24901,0.77178,1.10861,0.000356645,0.000356645,0.000356645
49,6600.82,1.24012,0.79268,1.09962,0.68616,0.58635,0.63125,0.36669,1.24638,0.77098,1.10574,0.000350042,0.000350042,0.000350042
50,6735.05,1.22928,0.78774,1.09208,0.75659,0.5743,0.64171,0.37366,1.25023,0.76659,1.10871,0.000343438,0.000343438,0.000343438
51,6869.06,1.22891,0.79148,1.09498,0.74551,0.58654,0.6482,0.37996,1.25153,0.76642,1.10756,0.000336835,0.000336835,0.000336835
52,7003,1.2258,0.78283,1.08884,0.72667,0.56502,0.63829,0.37001,1.25043,0.76084,1.1055,0.000330232,0.000330232,0.000330232
53,7137.05,1.21409,0.7707,1.08238,0.73274,0.57496,0.64453,0.37251,1.25082,0.76191,1.10847,0.000323628,0.000323628,0.000323628
54,7271.15,1.20293,0.75951,1.079,0.75199,0.57105,0.64832,0.38012,1.24321,0.74738,1.10253,0.000317025,0.000317025,0.000317025
55,7404.87,1.20353,0.75495,1.08148,0.75252,0.56567,0.64511,0.37767,1.23819,0.75065,1.10042,0.000310422,0.000310422,0.000310422
56,7538.95,1.19612,0.75122,1.07238,0.7506,0.58596,0.65418,0.38518,1.22967,0.74236,1.09877,0.000303818,0.000303818,0.000303818
57,7673.32,1.20698,0.75763,1.08012,0.72303,0.59571,0.65299,0.38262,1.23263,0.75306,1.10309,0.000297215,0.000297215,0.000297215
58,7807.31,1.1921,0.75376,1.07485,0.73028,0.6018,0.6595,0.3851,1.23236,0.7516,1.10516,0.000290612,0.000290612,0.000290612
59,7941.47,1.1928,0.74803,1.07201,0.75733,0.59421,0.6607,0.38878,1.22688,0.74379,1.09853,0.000284009,0.000284009,0.000284009
60,8076.01,1.18467,0.73971,1.07349,0.75255,0.60295,0.65561,0.38646,1.22557,0.74098,1.09808,0.000277405,0.000277405,0.000277405
61,8209.75,1.17661,0.73287,1.06601,0.75925,0.58119,0.65962,0.38943,1.22599,0.73903,1.099,0.000270802,0.000270802,0.000270802
62,8343.72,1.18181,0.73406,1.06625,0.74559,0.60383,0.66734,0.38882,1.22493,0.73198,1.09405,0.000264199,0.000264199,0.000264199
63,8478.49,1.17464,0.72099,1.06427,0.70778,0.61019,0.65966,0.38918,1.22612,0.73281,1.09639,0.000257595,0.000257595,0.000257595
64,8613.44,1.16533,0.72208,1.05755,0.7857,0.60005,0.66628,0.3896,1.22149,0.72685,1.09562,0.000250992,0.000250992,0.000250992
65,8747.06,1.15768,0.71963,1.05434,0.77912,0.5885,0.66308,0.39271,1.22751,0.74037,1.09738,0.000244389,0.000244389,0.000244389
66,8880.48,1.16415,0.72162,1.05681,0.75679,0.61028,0.66944,0.38973,1.21977,0.73413,1.09594,0.000237785,0.000237785,0.000237785
67,9014.6,1.15466,0.71174,1.05657,0.75627,0.60663,0.66594,0.39279,1.21477,0.73528,1.09038,0.000231182,0.000231182,0.000231182
